Address,Balance
0xD22Ccea9b6D3B9Fb7131fCa19198Cc79a038dF74,147506938397384046123683
0xc58138528a2c88D58Cf343dD2e1C2C25Dbd1f5E0,3880700000000000000000
0x6b7BAF18a423890c47181C11615E66880BD932eC,1499000000000000000000
0x769D9d513c143023d63205c3F1E3f8631eb520b7,1000000000000000000
0x765a30581C84D2E8E6E6c620e822e9D40cC66077,647320000000000000000
0xA1AF5cE2ca3D8DC4E8e8582Fde9e6E6Ed94B15a3,465320000000000000000
0x8de28c37233b2120C22a9ca63BaaE93ad46615FB,390660000000000000000
0xD40d95309509eE7f3c9c6bC304e88A24b3a37848,700000000000000000000
0xB6043f8e035D9281950183278A57Ba637787AC65,180051499234452598863818
0x7656aEC0f9778c1445c77dF7775bCA3E305b4Ae0,6240000000000000000000000
0x6eC72F225F4573f836eb8c8cb83Ce86CE56780f7,4521875000000000000000000
0xFC554a667c040a2d26063890c864e579e64eb7c0,712500000000000000000000
0x1097e936F5A02A6FD4d1e673B08b840CE78360EF,8000000000000000000000
0x9F7dbAA2D791a28C4AE6C8F9cB92daE5E7B294C4,100000000000000000000
0x93B275FBFb247D39659F237804F050C2ab678266,18
0x6246f2539f715643F71f46C6F6956FDf6DC08D5A,18
0x29D833c15eF38796B16c677288b080B5B0807D0d,9999999999999999984
0xD74554760Adc11bB290E28BA7fc07C33923693ef,10000000000000000000000
0xC866a0aD965e76132C504Cc6c0424A95aecDecF2,722929006376643274821
0x74e01DC32F33169767c76F7742ACaCc6b7bc8475,1000000000000000000
0x0805324c7C446DF7A9e174a7c014C06DF6505eF1,10000000000000000
0x04f48FDf309c6FF815Bf0eF5a855327B41dC9809,1050000000000000000
0xF296AD1f1614912AFc9C22ffb001677f1d5EbA26,10032734064725509233
0x98AF40919af4ABA67b025B9202184077055a0051,29888838013838013
0xf087ce4ef29bE8a1Dd8C994e8F92998F595423F3,10000000000000000
0xE92187FCF52d30304aF176456af7D47cBAFDaEAc,18005799550661063
0xAe84094Adc04080bead627DE9E204F1447C5602A,799000000000000000
0x8859b6ED38F6a7af0445c133121ef5eD20024bc3,1010000000000000000
0x2715020E66a3D8E41C0c5773d88f6ada0909963C,11001000000000000000
0xA60E1dAe1bedf168D4C68B9B5330e0b6a08B9c83,395815034714699996
0x4e25087289d5b86F018516271B3139E9CAc789AD,1000000000000000
0x23aCD8943685075dD10F0e6fE9C96E6D0b75d9De,500000000000000000
0x2Db0DAf177F7142FCC1c1e661bD18cA8FEd25FDd,100023001445415644987
0xc5d2Bf0BA636948047E426676F45B7A9641d1652,8531884149019243
0xe3AC5a05A363F66D2e983dE30F3579CdCa35d40e,20000000000000000
0xe079137DFA09b66dD28098E165b6f38d30b43bc5,3273776729385047
0xDad6Dc1d9185456c1EfbF6f5d66139Af0E90d45a,11086354304560482
0xDd53A8DCAb0Cc579d4cEe0aCAb6a53332921ED6b,1015781251354344964000
0x0a4E972318748B64BFD617Eb059CB1b9059d51b0,7568238774475499
0x0d591d6C6Dc28bBf777b7D7af7981Ce258f35B1D,13270815355766051414807
0xb2B7A57A7B7306D71004B2B77bdACD8bC4a322C5,8135856682561160
0xD0CA2572A4be43992D56d3b276f817d92024EebE,4000000000000001764
0x5c37a2c39aA4097B7ea5B977B790BB5d68aDd00B,7559999664785959740
0xd1d84e65dBab9985577763263dFB31f5a55454E5,569487818264583415040
0x0D579A00C5Fa3E7a19eF5912cb271cc27b4d50EC,26817430702300510
0x2Ab32768d27A211A7b21A0b5b2Da35841dA29BF4,10000000000000000
0xDB7a1315EC03B92804f5Cd84A643421eA5262ef3,10017042573891267676
0x402f574dC4f45f18AB18b21c3689b3941e659859,30000000000000000
0x01Fb393a49318CC3D3185F967E9f32084EE96E7A,574233734558386221383
0x2881e91fD9046357689Fd1A1EeFC1748e577fd8e,91840781475963492582
0x65D97ccf5106247Ff68Bc56c7df824c7e3e39Fdd,9427412699321257150000
0x7E0F7C562329B7588ef33f80A2dCD0346d9CAC55,2001000000000000000
0x1C982f00EB06eE0B80c1Ce60bD843E8BCB7a00EA,20000000000000000
0x5a9E91d8E06Cff605A67C3e094373ae1DbCe5bC4,20000000000000000
0xBab95Dffb17f3bfC620b58f955c76C23fbF0a22A,500000000000000000000
0x3A892f8F52978b34134854Ad2c4f200693e4a7Be,10000000000000000000
0x6066123549eBC053716FDafBF7be03D020DD199c,13000000000000000000
0xBB091327B16d2f07f3c17C2adDB0F801DCd22916,50000000000000000
0x7461d24A68100294Dc2077D764D3cDfC9D8A488D,2787566268363793242112
0xf93C49F12120f75318706F1b057ed81fa69B096F,9999999999999999289
0x5b734E197FEA8cd1bFA4F683e05daB5E6a18C886,1000000000000000000
0x4f28529aE50cF3Fcc33226286fBF3919f9e697Db,7396164000000000000000000
0x5A6A21445EC150f5C5f2be0bc4FE8Bfd97c939a7,3124
0x1f5567069914d29C08Db77006D616C60Fd7f15dc,15000000000000000000
0x92236abAe0157988323F4FCa07cC043D2a2D7469,10033281276071194546
0xe99d512217426b1874C206a2863C7442E83010f1,10000000000000000000
0x88FC46A95069E0Fd149AD6A089B7673748AC02ca,4190544673528597047
0xE45443C932604cD1e9D17Ab3D08f767eA9EaBA9a,12453672383739977345985
0x5596C793EA2702E8dD161BD3f2F5A0C35620a4fA,10000000000000000000
0xBC0a9140b88f1891DA91DC4447Dd59F04CD421E0,9087230757805211600
0xe548152CfD264D843220Fa76A3Fe52B1D4e62479,968652538508097
0x1E7F34Ab2cc249C2eeFD19fE7300eB93a74C1c3C,31685582551788190
0x77f1913bbf09f096c509309C0F6037d82A791149,997723961537790656
0xB0fAB9E3e104b61B97AB644a075c653C554CC75E,24371121713078057
0xFB2967C149B84580EE48677806Db69a714b11355,18551605493537063
0x6e7EC7D50eA2174747001c053037d7a00B8513Ff,69094732461071191938063
0x07F6CdB1169737a4803e4F722be3ff921E08d16E,45000000000000000000
0x2Cb9335b0F854a9f0ead09c5808e0d00Fa93DA92,23195139161072141
0x2e009285f55A576ADbE1605259d45124EdfE25f1,533297283356245061151751
0x6cA9e9AC1FC8BFaE25Aa42dDd9B145e02c103862,126280305275607280000
0xCa2379A84a298EE641d242DB23cb53B2C3A2Be8B,77328095238095235
0x563E84031255AF5c4fb72DB96a8Fb14DA79Ae65f,4801753650793651521
0x38E97BC5914eFb052139C4Bc3f67b3E4BF97CA45,74246051877690870
0x8853AD79c0f115eBd4425C1925723D6093a29D2D,91057405529755020
0xcB49f6a06BCE442Ef22B817713a90c33bdd6c094,106089933347559343671076
0xB51270547FC4B7CdC28a35d2C53efc5De64Bc802,1062809804326155922649
0x4658B1DCC9df3280eAd2f9E68cfC256fD118cd6A,1024580773484989144708
0x211958740682f6B2AC1d5a8a7eDb65E6231C6836,15000000000000000000000
0x87101F060d5347C939558cfbbC1bf9C54faA2588,15625000000000000000000
0x1b2183b469d408a1EF142787ccaE6C0551393F51,294581350945025200000
0xd3E569df4a9d4eB254A951445866954610a019e6,50000000000000000000000
0x0d5Cb7F72F330Af6833fFB2664Aa1403EB40cA9c,2000000000000000000
0x27Fd844A8324c8403D0D16AA2e876b23C5AEa16D,1500000000000000000
0x4a78018611163e8E919Ea13be78f2f2E4Fa5aBe9,392000000000000000
0x9140d2e141F970ef8d2CB01747BA773a82Caa901,88000000000000000
0xC8Bb33A17367397A9E71B2357B01AF244797cfc9,102727073800048700000
0x6c412a9218e919615E8a34870Efdf3dF127Aa6F3,151497265383750831776
0x992007e4E23949e54b13d34e4AE27Eb406CE351E,51709208467547934334419
0xC9a35802951d179B2Ff92fBfa8f124e78e54C844,2484824700000000058327040
0xb71ab8C2a291b8058ced1e9C242E73902665fbd2,257609474693641486000
0xe114C71CddADE507958CeFB0F129E2cA2D29Ce6C,572636531149852780000
0x29e22E6c3163CC90E1ECd71642671B367cd9dA89,5366990796426182000000
0x0c6955106b950894893aFc7916cbd7A5a181B985,676689343783577700000
0x769fD84bBaf0333Ac9f82a3e8D16735e01617386,10000000000000000
0x70976C53bbf35A60D43d76b5D6331e6D3f6d54ce,375000000000000000000000
0x83031A2214aa0728212E9552a40103e8f7892b55,375000000000000000000000
0x5C8701acFfCFd0bACf346964329048481e24379d,375000000000000000000000
0xC7a3CC170C39412Bba14adFa3024037b04966996,375000000000000000000000
0xAaE568617636281c7631E24f3A54637C66Ae56e8,1500000000000000000000000
0xb811Ad11DA565f6A9a9037a665620cEc75d2278c,500000000000000000000000